iter	Logloss
0	0.6888456632
1	0.6841828903
2	0.6775585431
3	0.6700689112
4	0.6634059553
5	0.6574989793
6	0.6515170972
7	0.6469696776
8	0.6433535735
9	0.6382769504
10	0.6331437747
11	0.6265952028
12	0.622803533
13	0.6180755586
14	0.6129603248
15	0.6095320961
16	0.6048764554
17	0.6001352721
18	0.5949305795
19	0.5916703216
20	0.5867846592
21	0.581697967
22	0.5768646038
23	0.5723724131
24	0.5692546067
25	0.5641793416
26	0.5595511074
27	0.5544645717
28	0.5499413538
29	0.5468373662
30	0.5435702795
31	0.5391833136
32	0.5345422234
33	0.530945676
34	0.5269409191
35	0.5226423343
36	0.5181879267
37	0.5149514058
38	0.5113128529
39	0.5064976105
40	0.5032120351
41	0.4991408875
42	0.4950477297
43	0.4929908939
44	0.489421099
45	0.4864233079
46	0.4833656397
47	0.4796986902
48	0.4773388582
49	0.472893691
50	0.4697851731
51	0.4666690584
52	0.4632576707
53	0.4593853067
54	0.4565774152
55	0.4539019346
56	0.4505873099
57	0.44722911
58	0.4446541243
59	0.4423821268
60	0.4380445098
61	0.4358918602
62	0.434228026
63	0.4315016976
64	0.4287574613
65	0.4256630987
66	0.4229383201
67	0.4202488487
68	0.4184604675
69	0.4164911468
70	0.414564597
71	0.4117430124
72	0.4095103658
73	0.4077460294
74	0.4041702332
75	0.4025236777
76	0.4001829564
77	0.3988041707
78	0.396788655
79	0.3939050658
80	0.3915083184
81	0.3895108946
82	0.387792451
83	0.385305976
84	0.3831828641
85	0.38130169
86	0.3796917549
87	0.3770339864
88	0.3748634335
89	0.3730714197
90	0.3710144244
91	0.3687201958
92	0.3662111439
93	0.3645607492
94	0.3620048649
95	0.3602487624
96	0.3580592728
97	0.3563458145
98	0.3544170934
99	0.3525635175
100	0.3505575617
101	0.3486713218
102	0.3471565388
103	0.3451990562
104	0.3435686019
105	0.3413831688
106	0.33984609
107	0.3389604353
108	0.3374942444
109	0.3354375593
110	0.3339444792
111	0.3328541493
112	0.3308829507
113	0.3295136763
114	0.3277988092
115	0.3261409169
116	0.3253253688
117	0.3238471795
118	0.3218278339
119	0.3199303004
120	0.3183430647
121	0.3165992396
122	0.3150179724
123	0.3134438794
124	0.3115427142
125	0.3099885041
126	0.308157475
127	0.3068279171
128	0.3046685327
129	0.303702955
130	0.3023961734
131	0.3012674858
132	0.299730362
133	0.2984859391
134	0.2969158468
135	0.295107621
136	0.2934509336
137	0.2922766911
138	0.2910088064
139	0.2895976855
140	0.2882240514
141	0.2869833365
142	0.2860157186
143	0.2852064064
144	0.2836518324
145	0.2827938406
146	0.2815006021
147	0.2807393369
148	0.279582262
149	0.2783766418
150	0.2771703446
151	0.2761572522
152	0.275506123
153	0.2748708645
154	0.2742484698
155	0.2733268163
156	0.2724206977
157	0.2719499575
158	0.2706900951
159	0.2698448333
160	0.2685103094
161	0.26767027
162	0.2662199844
163	0.2648386861
164	0.2635980098
165	0.2622964051
166	0.2610055313
167	0.2596044405
168	0.2585600215
169	0.2576732591
170	0.2567414123
171	0.2559582775
172	0.2548542997
173	0.2537322101
174	0.2526257862
175	0.2510989887
176	0.2504845352
177	0.2494972118
178	0.2484327076
179	0.2472643632
180	0.246134826
181	0.2452194327
182	0.2440653266
183	0.2430090646
184	0.2422462731
185	0.2411055272
186	0.240278554
187	0.2397038584
188	0.2393253804
189	0.2389604542
190	0.2381592536
191	0.2373397524
192	0.2365258312
193	0.2356438577
194	0.2348430127
195	0.2338241732
196	0.2329376051
197	0.2320982792
198	0.2314796584
199	0.2307108409
200	0.2295529289
201	0.228972023
202	0.2281048565
203	0.2271936706
204	0.2265987986
205	0.2256641563
206	0.2245707838
207	0.2239171794
208	0.2232199343
209	0.2224261704
210	0.2216815209
211	0.2207850801
212	0.2199296511
213	0.2194153692
214	0.2188273493
215	0.2180815686
216	0.2171625608
217	0.2161926749
218	0.21543977
219	0.2149800111
220	0.2143726325
221	0.2135387718
222	0.2128059139
223	0.2118491443
224	0.2109267342
225	0.2105803605
226	0.2099527579
227	0.2093252341
228	0.208737869
229	0.207946128
230	0.2073209499
231	0.2067701976
232	0.2061538499
233	0.2054391184
234	0.2049453879
235	0.2042899323
236	0.2037819354
237	0.2030564892
238	0.2026728907
239	0.202024868
240	0.201259435
241	0.2006276469
242	0.2000428038
243	0.1995997151
244	0.1987906616
245	0.1983160818
246	0.1979382087
247	0.1975659039
248	0.1968688848
249	0.1962556807
250	0.1958957091
251	0.1949521933
252	0.1943796611
253	0.1938908383
254	0.1932179931
255	0.1925483589
256	0.192098729
257	0.1917348987
258	0.191070366
259	0.1902658443
260	0.1897502977
261	0.1892152153
262	0.1888623078
263	0.1882327477
264	0.1877057917
265	0.1871397422
266	0.1867454727
267	0.185980453
268	0.1855044476
269	0.1847634928
270	0.1842071419
271	0.183755101
272	0.1832369743
273	0.1828279387
274	0.1821488949
275	0.1818306696
276	0.1815649027
277	0.1810356663
278	0.1806621088
279	0.180521696
